sensorID,sensorName,roomID,roomName,temperature,temperatureunit,illuminance,illuminanceunit,humidty,humidityunit,voltage,current,powerfactor,frequency,timestamp
1,Kitchen Ambient,1,Kitchen,27.41494043,C,10987.52,LUX,30.42510986,%RH,230,1.04,0.06,50,2016-09-17T06:06:37Z
3,Living Room MAIN,2,Living Room,,,,,,,163.9948093,2.521816339,0.504363268,50,2016-09-26T00:01:00Z
3,Living Room MAIN,2,Living Room,,,,,,,164.3263829,2.532723989,0.506544798,50,2016-09-26T00:01:30Z
3,Living Room MAIN,2,Living Room,,,,,,,166.6579313,2.543631016,0.508726203,50,2016-09-26T00:02:00Z
3,Living Room MAIN,2,Living Room,,,,,,,163.9894481,2.554537213,0.510907443,50,2016-09-26T00:02:30Z
3,Living Room MAIN,2,Living Room,,,,,,,169.320927,2.565442371,0.513088474,50,2016-09-26T00:03:00Z
3,Living Room MAIN,2,Living Room,,,,,,,169.6523617,2.576346283,0.515269257,50,2016-09-26T00:03:30Z
3,Living Room MAIN,2,Living Room,,,,,,,169.983746,2.587248742,0.517449748,50,2016-09-26T00:04:00Z
3,Living Room MAIN,2,Living Room,,,,,,,167.3150734,2.598149539,0.519629908,50,2016-09-26T00:04:30Z
3,Living Room MAIN,2,Living Room,,,,,,,168.6463378,2.609048468,0.521809694,50,2016-09-26T00:05:00Z
3,Living Room MAIN,2,Living Room,,,,,,,169.9775327,2.619945321,0.523989064,50,2016-09-26T00:05:30Z
3,Living Room MAIN,2,Living Room,,,,,,,170.3086519,2.630839891,0.526167978,50,2016-09-26T00:06:00Z
3,Living Room MAIN,2,Living Room,,,,,,,171.639689,2.641731969,0.528346394,50,2016-09-26T00:06:30Z
3,Living Room MAIN,2,Living Room,,,,,,,171.9706378,2.652621349,0.53052427,50,2016-09-26T00:07:00Z
3,Living Room MAIN,2,Living Room,,,,,,,171.301492,2.663507823,0.532701565,50,2016-09-26T00:07:30Z
3,Living Room MAIN,2,Living Room,,,,,,,167.6322453,2.674391184,0.534878237,50,2016-09-26T00:08:00Z
3,Living Room MAIN,2,Living Room,,,,,,,172.9628913,2.685271225,0.537054245,50,2016-09-26T00:08:30Z
3,Living Room MAIN,2,Living Room,,,,,,,172.2934238,2.696147739,0.539229548,50,2016-09-26T00:09:00Z
3,Living Room MAIN,2,Living Room,,,,,,,170.6238364,2.707020519,0.541404104,50,2016-09-26T00:09:30Z
